UserLogin,Aktion,Datum,Zeit
User 1,loginUser 1,2026-01-31,00:10:38
User 1,loginUser 1,2026-01-31,00:17:49
User 1,login User 1,2026-01-31,00:34:27
User 1,User 1 selected Kitchen,2026-01-31,00:34:27
User 1,"Kitchen: Light up, now 10%",2026-01-31,00:34:27
User 1,login User 1,2026-01-31,00:38:09
User 1,User 1 selected Kitchen,2026-01-31,00:38:09
User 1,"Kitchen: Light up, now 10%",2026-01-31,00:38:09
User 1,"Kitchen: Light up, now 20%",2026-01-31,00:38:10
User 1,"Kitchen: Light up, now 30%",2026-01-31,00:38:10
User 1,"Kitchen: Light up, now 40%",2026-01-31,00:38:10
User 1,"Kitchen: Light up, now 50%",2026-01-31,00:38:10
User 1,"Kitchen: Light up, now 60%",2026-01-31,00:38:10
User 1,"Kitchen: Light up, now 70%",2026-01-31,00:38:10
User 1,"Kitchen: Light up, now 80%",2026-01-31,00:38:10
User 1,"Kitchen: Light up, now 90%",2026-01-31,00:38:10
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:10
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:10
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:10
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:10
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:10
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:10
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:16
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:16
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:16
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:16
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:16
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:16
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:16
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:16
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:16
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:16
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:16
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:16
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:16
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:16
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:16
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:16
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:16
User 1,"Kitchen: Light up, now 10%",2026-01-31,00:38:20
User 1,"Kitchen: Light up, now 20%",2026-01-31,00:38:20
User 1,"Kitchen: Light up, now 30%",2026-01-31,00:38:20
User 1,"Kitchen: Light up, now 40%",2026-01-31,00:38:20
User 1,"Kitchen: Light up, now 50%",2026-01-31,00:38:20
User 1,"Kitchen: Light up, now 60%",2026-01-31,00:38:20
User 1,"Kitchen: Light up, now 70%",2026-01-31,00:38:20
User 1,"Kitchen: Light up, now 80%",2026-01-31,00:38:20
User 1,"Kitchen: Light up, now 90%",2026-01-31,00:38:20
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:21
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:21
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:21
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:21
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:21
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:21
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:21
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:21
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:21
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:21
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:21
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:21
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:21
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:21
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:21
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:23
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:23
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:23
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:23
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:23
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:23
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:23
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:23
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:23
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:23
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:23
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:23
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:23
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:23
User 1,"Kitchen: Light off, now 0%",2026-01-31,00:38:23
User 1,"Kitchen: Light up, now 10%",2026-01-31,00:38:24
User 1,"Kitchen: Light up, now 20%",2026-01-31,00:38:24
User 1,"Kitchen: Light up, now 30%",2026-01-31,00:38:24
User 1,"Kitchen: Light up, now 40%",2026-01-31,00:38:25
User 1,"Kitchen: Light up, now 50%",2026-01-31,00:38:28
User 1,"Kitchen: Light up, now 60%",2026-01-31,00:38:28
User 1,"Kitchen: Light up, now 70%",2026-01-31,00:38:28
User 1,"Kitchen: Light up, now 80%",2026-01-31,00:38:28
User 1,"Kitchen: Light up, now 90%",2026-01-31,00:38:28
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:28
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:28
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:28
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:28
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:28
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:28
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:28
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:28
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:29
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:29
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:29
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:29
User 1,"Kitchen: Light up, now 100%",2026-01-31,00:38:29
User 1,"Kitchen: Light down, now 90%",2026-01-31,00:38:30
User 1,"Kitchen: Light down, now 80%",2026-01-31,00:38:30
User 1,"Kitchen: Light down, now 70%",2026-01-31,00:38:31
User 1,"Kitchen: Light down, now 60%",2026-01-31,00:38:31
User 1,"Kitchen: Light down, now 50%",2026-01-31,00:38:31
User 1,"Kitchen: Light down, now 40%",2026-01-31,00:38:31
User 1,"Kitchen: Light down, now 30%",2026-01-31,00:38:31
User 1,"Kitchen: Light down, now 20%",2026-01-31,00:38:31
User 1,"Kitchen: Light down, now 10%",2026-01-31,00:38:31
User 1,"Kitchen: Light down, now 0%",2026-01-31,00:38:31
User 1,"Kitchen: Light down, now 0%",2026-01-31,00:38:31
User 1,"Kitchen: Light down, now 0%",2026-01-31,00:38:31
User 1,"Kitchen: Light down, now 0%",2026-01-31,00:38:31
User 1,"Kitchen: Light down, now 0%",2026-01-31,00:38:31
User 1,"Kitchen: Light down, now 0%",2026-01-31,00:38:31
User 1,"Kitchen: Light down, now 0%",2026-01-31,00:38:31
User 1,"Kitchen: Light down, now 0%",2026-01-31,00:38:31
User 1,"Kitchen: Light down, now 0%",2026-01-31,00:38:31
